text,target
COMMEND ME TY,0
sorry nex,0
what is the best soup?,0
man that silence on axe,0
not coming into play,0
my storm also cry,0
20mins scythe on od,0
ty pudge,0
only me ,0
for farming a lot,0
this game,0
happy new year,0
passive heross here,0
ty],0
SLOW HAND TINKER,0
WTf?,0
counter more,0
how many more x3 mins do we have to wait,0
that was more lucky than ur kill 😂:D,0
report sf and lycan,0
dont forget report lycan and sf,0
000000000-5   NICE FEDD,0
NICE FEDDDD,0
fED FED ,0
really?,0
that bug,0
ff pls ,0
i will commend u sniper if u commend me too,0
has gem walked intio bomb ,0
report wk,0
apparently,0
and then,0
my team,0
and I am a support,0
??? lol now pause,0
why all russian are so dirty player,0
reported Viper please,0
that's why they have a turbo now,0
team reported and afk ,0
o,0
its fat,0
Commend Troll,0
which killed me,0
check this,0
these bashes,0
from the offlane,0
i missed the hill,0
rof,0
CHERT,0
idk what teals talking abou,0
or feed?,0
u know that?,0
how to change aggro :D,0
what a world we live in,0
nice one,0
cant win game,0
now u pick counter vs me,0
mind topo?,0
but my teammates wont to kill u((9(,0
report alche plz,0
withh 600 avg gpm,0
music to my ears,0
never chat all at early kids,0
you guys were winning early game,0
techies matanme ,0
techies go kill yourself,0
techies makes the game boring,0
Nah just other route,0
oh right,0
switch off my cheats,0
0reaction team 0 def team 0 info team pls ff enmys,0
shadow fiend,0
what,0
"i'm really not, sry man",0
IM PASSIVBE EHHE,0
please,0
COMEND PLZ,0
AND JUNGLE,0
hhe,0
first pick,0
its best for you to leave,0
They cant understand you,0
please,0
strictly bussiness,0
COMEND MID ,0
try hard ^^,0
so try hard,0
its a prank,0
TA EBAL TVOU ROT,0
Ragnaros is life,0
>Game is Hard,0
why even try?,0
basher void ,0
every game he picks omni 5 pos,0
rofl,0
they blame me,0
Read he name,0
he braindead?,0
rip english,0
worth?,0
worth?,0
losing to herald bro,0
then what r u jug,0
what happened to your mid?,0
why make am so fat,0
i rich what,0
radian victory,0
Currently In-GameDota 2Join Game,0
solo carry team,0
unbelievable how people can be so bad to lose thsi game,0
nice fair matchmaking,0
Even treads on agi,0
clock,0
one curse and you boys run?,0
end please,0
this is undying,0
how often,0
ez predicted pango,0
REPORT URSA,0
feeed me more,0
these*,0
and storm spends more time typing than anything else,0
ill sit in base,0
did anything except feed lol,0
sounds good,0
who kept whining,0
yes we know that,0
Just pretend the man doesn't exist...,0
cool,0
People,0
"ck you need to study, half your senteces make no sense",0
that was a 3v1 too?,0
thats what your mum said,0
we are late game,0
why you play whis shit heroes,0
reported pa ,0
ill out retard your feed dont worry,0
report alch for not having 0.25 seconds per atk,0
he's good,0
Cancer sup,0
SHOULD I STAY OR SHOULD I GO NOW,0
Nice rosh ,0
party???,0
RREI RREI VEI PEI JONGE',0
i dont know,0
report him,0
ply sup,0
we really,0
team respect him,0
pheonix ,0
omg the pheonix plays :D,0
im going to hook,0
antimage and axe,0
1v3 fore what,0
go next ty,0
please,0
how are these ranks equal?,0
felt bad right?,0
U CARE?!?!?,0
THANK YOU FOR IMPROVING THE DOTA 2 COMMUNITY,0
that feel so good,0
my team doesnt deserve to get out of lp,0
or whatever,0
stop it,0
anyway tinker counter your teamate but u counter me,0
RATAS TODOS,0
i will show this game to all my support,0
how to win,0
Thanks,0
can win,0
report pudge,0
lol I was talking to my brother,0
Report pudge,0
dont touch my support,0
very nice safelane,0
nice first kill,0
Comeback is real,0
random on ranekd match,0
you look right cause I was left,0
I look left cause u aint right,0
hey divine,0
commend tatu boila,0
call roshan,0
i know what u feel,0
i hate doin this,0
alreadyt,0
balanced af,0
this hero is broken,0
playing with legend,0
person i have ever played with,0
he predictedf it,0
very interesting hero,0
u just saw erick wright guide,0
CHESTN,0
on afk,0
ty!,0
think about it,0
wher are they?,0
on block,0
u cant win why bother,0
And ur actually not,0
almost 1 shot,0
pls end my suffering,0
cant go as 5,0
thats it,0
wp ANother progress for decision making,0
AGORA TO BRABO,0
dont do that,0
please,0
didnt know how to deff,0
too much greedy!!,0
im not herald,0
pushh and end lmao,0
watching how i die then they due,0
gg wp team,0
why no bash on quop,0
my team lost,0
hes not my friend,0
pff sniper,0
REPORT BROOD TY,0
good to throw ,0
i`m leave and go watch certoon,0
thanks for game,0
Lol ty,0
pick techies = report omni hu3,0
encima dice thx techies,0
i win the round of whose got the bettter regen,0
please,0
dont touch my team,0
that costs 0 mana,0
still chases?,0
so i could burn u,0
pls come back,0
waste time,0
TIDE FARM,0
this my carry + midd,0
watch replay if ur confused,0
balls removed,0
report spectre please,0
you guys have pause already for 5 min +,0
hes not coming back,0
u guys arent gonna win this game,0
Pls report shadow demon,0
i played good but with this wk and riki,0
Report wk,0
easy,0
how have you guys not left?,0
thanks for eulsing me,0
commend swap,0
rofl tiny,0
clearly cheating,0
storm u rly so bad,0
accbuyer -_-,0
throne?,0
lol the lane.,0
Feed?,0
go soul ring instead of arcane,0
REPORT AMM GG,0
thanks,0
english pls,0
Why isnt necro mid also?,0
bara or creep ?,0
rofl,0
outplayed,0
I HAVE NO TAIM ,0
bird is the word guys,0
really,0
ty pud,0
ain thelping him,0
serious,0
top ?,0
wtf is that hero,0
go to bed,0
Clock Clock Clock Clock Clock Clock Clock ,0
Clock Clock Clock Clock Clock Clock Clock ,0
Do you know the wey,0
Do you know the wey,0
TEAM?,0
u dont need english to win dota,0
i tried to ,0
in this moment??,0
he is an axe though,0
he doesnt have souls,0
its ok,0
ez top by the way,0
swap commend ty,0
EXCEPT ME ALL MY TEAM IS PRO,0
so the point of the game is to NEVER protect pos 1 ?N,0
Report am please,0
please,0
ff pls ,0
The cancer lancer,0
witch fedeer,0
come wars,0
1 and 1/2,0
guess were reporting them all for unpausing,0
x miss ghost ship :))),0
this medusa,0
WHAT NOW,0
learn a real language,0
my eyes closed,0
U guys worth to win,0
where is march?,0
u can do better just ass blocking mate,0
what u all still wanna do lol,0
any problem with dark lord?,0
dk with no ,0
tiny has been banned,0
worth,0
worth it,0
really wworth it,0
"roses are red, violets are not, i snatched up baby madeline, right up out of her cot",0
FOR MARKING ME AND TA,0
he is off,0
learning it the hard way,0
in game now,0
u done nothing,0
try more pls,0
that slark was so sily in start game....,0
easiest sf of my life,0
worth,0
let me show u the wey,0
thats a gottum ,0
0 arrow,0
COMMED,0
play with the creeps,0
i played solo,0
wp malo-fets,0
rS,0
lol to help bot,0
i wanted a kill ;(,0
What,0
easy,0
that would be you,0
to be honest you didnt have impact in this game,0
My internet will go down at like 20 mins and you can all spam KARMARMAKRKM in all chat,0
that's full house,0
OK?,0
first time computer,0
smurfing as clinkz :D,0
why by,0
Really ?,0
shame on you bro,0
rep tech,0
THE DIFFUSAL WORKS,0
abaddon watchthere ,0
ok thx,0
Coming from you,0
You,0
Report Pan,0
team roshan,0
currently in game,0
report team,0
please,0
gg close game,0
king of the low,0
commend bh 18 assist =(,0
REPORT CLOK FLAMER,0
sorry :C,0
can we end?,0
and just play,0
only es bane and sky?,0
(Console): Report submitted: Thank you for helping to improve the Dota 2 community.,0
10/10 would lane 1v1 vs brew again XD,0
how es bane and luna can't handle brew,0
es and bane were looking to fight non stop,0
you picked four melees,0
stop it pls,0
me team report,0
why,0
fast ,0
lol esse weaver,0
thats it haha,0
lol 3rd times the charm,0
how many times are you gonna miss,0
how many times are you gonna miss,0
he just know control armlet,0
he is pro,0
this sf so bad,0
he always need mroe farm,0
wr also shakle me:D,0
wp team,0
we have nice mid and carry,0
thot,0
ty brat,0
14years OLD,0
nc abed,0
how tinker lost this game,0
u know arise,0
sf 1 soul,0
go throne,0
i got to play with 4 animals,0
u are biggest animal for allchatting x),0
and my help,0
ew! carry TT on support!,0
to our yurnero player,0
cant play jugg,0
i love you sweatheart,0
nice items alch LOL,0
lich full sup for defeat,0
cant see properly,0
U can finish ,0
rubick support clock hard and od whos max astral ,0
void pick too good,0
ty for stack,0
u want their pos?,0
Well played clinkz,0
this team ' we cant end quick',0
christian,0
oh great,0
party?,0
commend the mine,0
report lion ty ,0
Get a life,0
you laugh for nothing,0
report pa... wasting our time,0
rofl,0
4Head,0
what invo,0
wards sponsor,0
ALL THE WATN,0
COME,0
you are in middle of our towers,0
talking to the mooooooooon,0
Throw,0
i thrw this,0
bot,0
oKAY What ever Mna,0
thats no reason to pause,0
and whats that purpose?,0
help report him,0
can only can kill me with ur 2 bodyguards,0
sold items already?,0
ty am,0
thanks for rampadge,0
comend pls,0
nyx should learn from u,0
peru is the best,0
everything is gonna be ok,0
Don't worry,0
why you afk top mag?,0
Currently In-GameDota 2,0
refresh,0
Good luck & have fun!,0
TREPORT WAVER Y WIN,0
u have anti-bkb team?,0
hate,0
he is with us,0
"Mega creeps, gg wp",0
Report him,0
our cores decided against showing up,0
we have 5 cores,0
and look up what tryhard means ,0
es offlane,0
the irony,0
gg thanks bois,0
tis ahrd,0
nuice ward,0
rofl,0
commend pudge,0
"no, slark won the game, u can all see it",0
only this stun on u in last fight can recognized by the nicest move of this game,0
in safe time,0
this slark talks too much,0
i was bad this game  btw,0
let me and invo ,0
Dont come top again poop man,0
all of you on 5hp,0
sir it was calculated,0
COMEBACK SIR,0
woah there,0
dial it back to an 11 there mate,0
just win ./.. i dont' care,0
it's the only explanation LOL,0
uses stick = luck?,0
we been 4 since dk abandon at minute 4,0
whawt on drow?,0
pls wait thx,0
can't own him,0
farm all of time,0
look at my techies,0
4v5 whole game,0
commend omak,0
everywhere,0
why,0
GG earth you win it game,0
thx pudge,0
see that ?,0
why you push,0
so im waiting for u to finish,0
He come,0
rep bh an pudge,0
you waste time,0
he isnt still here,0
your time tho,0
outplayed,0
how did you like my cricket,0
commend roaming ck,0
report treant sf?,0
beast ulted,0
give him a clap,0
what wr no mid,0
mother fucer,0
not useful for me now,0
your team,0
slow brains,0
your dead slowest,0
trying to be witty arent' we?,0
so what happend?,0
dont mind be guys i am just gono chill here,0
clock mvp,0
by sfs,0
what?,0
wait my ult then,0
and i have no team,0
to take your base,0
"m,y necro bought a 50 minute radiance",0
really,0
poor country,0
rubick buy wards in ths mode,0
yeah playing with illu,0
roaming clock,0
"Go to play Stardew Valley wk, and learn how to farm",0
reprot blue and orange,0
CM AL,0
he lost ur off,0
ze old walk it off,0
in this glorious 2018,0
Doesn't matter if my team or enemy,0
what a spell,0
in dream,0
Currently Offline,0
srly,0
ty for waiting,0
he is mongol,0
whu ,0
WELCOME TO WELL,0
nice throw,0
how are you my friend,0
ye hes the best,0
best cartoon EU,0
ITS OK,0
Trash invo,0
he crash?,0
d2 crash ?,0
cat burned,0
AFK ,0
dont fight,0
what u doing?,0
i will rp this brood,0
just noticed they removed the poor mans sheild lol,0
SO IT DIESNT CHASE?,0
happy new year,0
everything is possible,0
buy more wards,0
networth,0
CLINK COME,0
nice hurricane,0
why so many come here,0
rofl,0
please :),0
what is mmr ?,0
and global feeding,0
and alch too,0
3 deaths,0
tactical distraction :v ,0
bb wants to farm ,0
that tidebringer crit,0
COMNET,0
easy,0
how lon,0
well come Home sniper,0
rofl,0
who is your offlane,0
and i did bettee thatn all other supports,0
u were worst carry,0
i was the slardar bane,0
that slark tho,0
slark man its polite to wait for them to return,0
party?,0
tomorrow will be good day,0
ITS  THE FISHHHH,0
jugg kept complaining about not being able to farm top,0
REPORT AERTSHAKER,0
report eart,0
why no et instead of tusk,0
im just makin sure they dotn win,0
so stfu and play,0
2- they are 1.5k mmr below me,0
i muted all 4 players in my team,0
intentional feed they calm down,0
game is hard,0
to deal with low carry,0
thats the play,0
guys there's how throw game,0
4 reports,0
rly ?,0
tried my best,0
what a game,0
ss has a problem with me,0
FULL TRAIN ,0
with 2 ee's,0
u can end it,0
For him,0
"he cant play, farm, talk",0
it is useless to play with this medusa,0
ty for ruin this game medusa,0
that pudge,0
dota cenima with arrows dude,0
put it on ytube pls,0
supported phoenix,0
bs hc,0
why bb,0
name of the ship,0
space ship,0
Rofl,0
go push items,0
a free win,0
end please,0
arcane on storm,0
Merry christmas and a lispy new year!,0
ROFL HE WAS GOING TO TAKE AEGIS,0
is my pudge gonna do sometihng,0
i hiea best,0
what?,0
much cute very strength ,0
tinker without aghs,0
THATS WHY WE LOST ,0
NO AGHS TINKER ,0
team is farming ,0
knowledge,0
game eazier without tinker,0
paiowhnfoawf,0
cna't push wihtout killing dumbasses,0
Leanr some game awareness zeus,0
1 HOUR CONNECTING,0
report me please,0
everything my fault,0
"If you find many cancer in your games, you are the cancer",0
hey,0
how much buy?,0
party?,0
worth,0
what you laughing for ? wind,0
ruin player,0
all reproetd pudge,0
ofoffofo,0
not wards in team,0
that game,0
WHAT IS THIS GAME,0
gg nice throw ,0
rly? D ,0
hoock,0
we just cant wait 20min for 1 afk wooden pc,0
he is still offline,0
do u think ppl want wait?,0
are they coming back?,0
he has 20 sec,0
finaly,0
in team,0
REPORT JUG,0
creep will end,0
big counter picker,0
report TA,0
worth?,0
when you drop your weapons in the end in cs go,0
INVOKER MEMEK,0
was fun mid tho,0
who ban arc?,0
why ban?,0
he coming,0
whats the matter,0
ive never played against a bad invoker before though,0
best tornado 2018,0
professional player,0
archer,0
it matters?,0
ofc... ,0
on ne snyal tebe 900 hp,0
scared of a fair match?,0
